The "SUID","Annotation","Author","Complex Expansion","Complex Expansion ID","Confidence-Score-intact-miscore","Creation Date","Detection Method","Detection Method ID","Host Organism Taxonomy","Host Organism Taxonomy ID","interaction","Interaction Type","name","Negative","Primary Interaction Type","Publication DB","Publication ID","selected","shared interaction","shared name","Source Biological Role","Source Biological Role ID","Source Database","Source Experimental Role","Source Experimental Role ID","Source Participant Detection Method","Source Participant Detection Method ID","Target Biological Role","Target Biological Role ID","Target Experimental Role","Target Experimental Role ID","Target Participant Detection Method","Target Participant Detection Method ID","Update Date","Xref","Xref ID"
"23213","figure legend:Supplement Fig. 1|dataset:BioCreative - Critical Assessment of Information Extraction systems in Biology|full coverage:Only protein-protein interactions|curation depth:imex curation","Kitajima et al. (2006)",,,"0.49","2006/08/16","two hybrid","MI:0018","yeasx|Saccharomyces cerevisiae","4932|4932","EBI-989261","physical association","Q15172 (EBI-989261) Q14738","false","physical association","imex|pubmed","IM-14456|16541025","false","EBI-989261","Q15172 (EBI-989261) Q14738","unspecified role","MI:0499","psi-mi","prey","MI:0498","predetermined participant","MI:0396","unspecified role","MI:0499","bait","MI:0496","predetermined participant","MI:0396","2014/10/16","intact","MI:0469"
"23214","figure legend:Supplement Fig. 1 b|dataset:BioCreative - Critical Assessment of Information Extraction systems in Biology|full coverage:Only protein-protein interactions|curation depth:imex curation","Kitajima et al. (2006)","spoke expansion","MI:1060","0.49","2006/08/16","protein three hybrid","MI:0437","yeasx|Saccharomyces cerevisiae","4932|4932","EBI-989343","physical association","Q15172 (EBI-989343) Q14738","false","physical association","imex|pubmed","IM-14456|16541025","false","EBI-989343","Q15172 (EBI-989343) Q14738","unspecified role","MI:0499","psi-mi","bait","MI:0496","predetermined participant","MI:0396","unspecified role","MI:0499","ancillary","MI:0684","predetermined participant","MI:0396","2014/10/16","intact","MI:0469"
"23217","figure legend:Fig 1A|full coverage:Only protein-protein interactions|curation depth:imex curation","Creyghton et al. (2005)",,,"0.37","2007/09/26","two hybrid","MI:0018","yeasx|Saccharomyces cerevisiae","4932|4932","EBI-1538318","physical association","Q99MH6 (EBI-1538318) Q06190-2","false","physical association","pubmed|imex","15687260|IM-19608","false","EBI-1538318","Q99MH6 (EBI-1538318) Q06190-2","unspecified role","MI:0499","psi-mi","prey","MI:0498","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","bait","MI:0496","nucleotide sequence identification","MI:0078","2014/10/16",,
"23219","figure legend:Fig 1B|full coverage:Only protein-protein interactions|curation depth:imex curation","Creyghton et al. (2005)",,,"0.62","2007/09/26","anti tag coimmunoprecipitation","MI:0007","human-293|Homo sapiens transformed primary embryonal kidney cells","9606|9606","EBI-1538347","physical association","Q969G9 (EBI-1538347) Q06190-2","false","physical association","pubmed|imex","15687260|IM-19608","false","EBI-1538347","Q969G9 (EBI-1538347) Q06190-2","unspecified role","MI:0499","psi-mi","prey","MI:0498","western blot","MI:0113","unspecified role","MI:0499","bait","MI:0496","western blot","MI:0113","2014/10/16",,
"23220","figure legend:Fig 1B, 1C, 3D|inhibition:Interaction of NKD1 with DVL1 is inhibited by isoform PR72 of PPP2R3A.|full coverage:Only protein-protein interactions|curation depth:imex curation","Creyghton et al. (2005)","spoke expansion","MI:1060","0.62","2007/09/26","anti tag coimmunoprecipitation","MI:0007","human-293|Homo sapiens transformed primary embryonal kidney cells","9606|9606","EBI-1538355","association","Q969G9 (EBI-1538355) Q06190-2","false","association","pubmed|imex","15687260|IM-19608","false","EBI-1538355","Q969G9 (EBI-1538355) Q06190-2","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2014/10/16",,
"23223","figure legend:Fig 3C, Table 1|full coverage:Only protein-protein interactions|curation depth:imex curation","Spahr et al. (2003)","spoke expansion","MI:1060","0.35","2007/09/19","tandem affinity purification","MI:0676","schpm|Schizosaccharomyces pombe","4896|4896","EBI-1534178","association","P87303 (EBI-1534178) O74366","false","association","pubmed|imex","14534314|IM-18905","false","EBI-1534178","P87303 (EBI-1534178) O74366","unspecified role","MI:0499","psi-mi","bait","MI:0496","peptide massfingerprinting","MI:0082","unspecified role","MI:0499","prey","MI:0498","peptide massfingerprinting","MI:0082","2014/10/16",,
"23225","figure legend:Fig 3C, Table 1|full coverage:Only protein-protein interactions|curation depth:imex curation","Spahr et al. (2003)","spoke expansion","MI:1060","0.35","2007/09/19","tandem affinity purification","MI:0676","schpm|Schizosaccharomyces pombe","4896|4896","EBI-1534178","association","P87303 (EBI-1534178) O13745","false","association","pubmed|imex","14534314|IM-18905","false","EBI-1534178","P87303 (EBI-1534178) O13745","unspecified role","MI:0499","psi-mi","bait","MI:0496","peptide massfingerprinting","MI:0082","unspecified role","MI:0499","prey","MI:0498","peptide massfingerprinting","MI:0082","2014/10/16",,
"23227","figure legend:1b|dataset:BioCreative - Critical Assessment of Information Extraction systems in Biology|full coverage:Only protein-protein interactions|curation depth:imex curation","Kitajima et al. (2006)",,,"0.54","2006/08/16","anti bait coimmunoprecipitation","MI:0006","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606|9606","EBI-989173","physical association","Q5FBB7 (EBI-989173) Q15172","false","physical association","imex|pubmed","IM-14456|16541025","false","EBI-989173","Q5FBB7 (EBI-989173) Q15172","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2014/10/16","intact","MI:0469"
"23228","figure legend:1c|comment:Colocalization has been observed at centromeres from mitotic prophase to metaphase.|dataset:BioCreative - Critical Assessment of Information Extraction systems in Biology|full coverage:Only protein-protein interactions|curation depth:imex curation","Kitajima et al. (2006)",,,"0.54","2006/08/16","confocal microscopy","MI:0663","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606|9606","EBI-989200","colocalization","Q5FBB7 (EBI-989200) Q15172","false","colocalization","imex|pubmed","IM-14456|16541025","false","EBI-989200","Q5FBB7 (EBI-989200) Q15172","unspecified role","MI:0499","psi-mi","neutral component","MI:0497","identification by antibody","MI:0421","unspecified role","MI:0499","neutral component","MI:0497","identification by antibody","MI:0421","2014/10/16","chromosome, centromeric region","GO:0000775"
"23229","figure legend:Supplement Fig. 1|dataset:BioCreative - Critical Assessment of Information Extraction systems in Biology|full coverage:Only protein-protein interactions|curation depth:imex curation","Kitajima et al. (2006)",,,"0.55","2006/08/16","two hybrid","MI:0018","yeasx|Saccharomyces cerevisiae","4932|4932","EBI-989265","physical association","Q5FBB7 (EBI-989265) Q14738","false","physical association","imex|pubmed","IM-14456|16541025","false","EBI-989265","Q5FBB7 (EBI-989265) Q14738","unspecified role","MI:0499","psi-mi","prey","MI:0498","predetermined participant","MI:0396","unspecified role","MI:0499","bait","MI:0496","predetermined participant","MI:0396","2014/10/16","intact","MI:0469"
"23231","figure legend:Supplement Fig. 1|dataset:BioCreative - Critical Assessment of Information Extraction systems in Biology|full coverage:Only protein-protein interactions|curation depth:imex curation","Kitajima et al. (2006)",,,"0.48","2006/08/16","two hybrid","MI:0018","yeasx|Saccharomyces cerevisiae","4932|4932","EBI-989272","physical association","Q562F6 (EBI-989272) Q15172","false","physical association","imex|pubmed","IM-14456|16541025","false","EBI-989272","Q562F6 (EBI-989272) Q15172","unspecified role","MI:0499","psi-mi","prey","MI:0498","predetermined participant","MI:0396","unspecified role","MI:0499","bait","MI:0496","predetermined participant","MI:0396","2014/10/16","intact","MI:0469"
"23232","figure legend:Supplement Fig. 1 b|dataset:BioCreative - Critical Assessment of Information Extraction systems in Biology|full coverage:Only protein-protein interactions|curation depth:imex curation","Kitajima et al. (2006)","spoke expansion","MI:1060","0.54","2006/08/16","protein three hybrid","MI:0437","yeasx|Saccharomyces cerevisiae","4932|4932","EBI-989343","physical association","Q15172 (EBI-989343) Q5FBB7","false","physical association","imex|pubmed","IM-14456|16541025","false","EBI-989343","Q15172 (EBI-989343) Q5FBB7","unspecified role","MI:0499","psi-mi","bait","MI:0496","predetermined participant","MI:0396","unspecified role","MI:0499","prey","MI:0498","predetermined participant","MI:0396","2014/10/16","intact","MI:0469"
"23233","figure legend:1A|dataset:BioCreative - Critical Assessment of Information Extraction systems in Biology|full coverage:Only protein-protein interactions|curation depth:imex curation","Kitajima et al. (2006)","spoke expansion","MI:1060","0.55","2006/08/16","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606|9606","EBI-999355","association","Q562F6 (EBI-999355) Q14738","false","association","imex|pubmed","IM-14456|16541025","false","EBI-999355","Q562F6 (EBI-999355) Q14738","unspecified role","MI:0499","psi-mi","bait","MI:0496","Identification by mass spectrometry","MI:0427","unspecified role","MI:0499","prey","MI:0498","Identification by mass spectrometry","MI:0427","2014/10/16","intact","MI:0469"
"23234","figure legend:1A|dataset:BioCreative - Critical Assessment of Information Extraction systems in Biology|full coverage:Only protein-protein interactions|curation depth:imex curation","Kitajima et al. (2006)","spoke expansion","MI:1060","0.48","2006/08/16","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606|9606","EBI-999355","association","Q562F6 (EBI-999355) Q15172","false","association","imex|pubmed","IM-14456|16541025","false","EBI-999355","Q562F6 (EBI-999355) Q15172","unspecified role","MI:0499","psi-mi","bait","MI:0496","Identification by mass spectrometry","MI:0427","unspecified role","MI:0499","prey","MI:0498","Identification by mass spectrometry","MI:0427","2014/10/16","intact","MI:0469"
"23236","figure legend:1A|dataset:BioCreative - Critical Assessment of Information Extraction systems in Biology|full coverage:Only protein-protein interactions|curation depth:imex curation","Kitajima et al. (2006)","spoke expansion","MI:1060","0.35","2006/08/16","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606|9606","EBI-999355","association","Q562F6 (EBI-999355) Q16537","false","association","imex|pubmed","IM-14456|16541025","false","EBI-999355","Q562F6 (EBI-999355) Q16537","unspecified role","MI:0499","psi-mi","bait","MI:0496","Identification by mass spectrometry","MI:0427","unspecified role","MI:0499","prey","MI:0498","Identification by mass spectrometry","MI:0427","2014/10/16","intact","MI:0469"
"23238","figure legend:Table S1|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|curation depth:mimix curation","Nozawa et al. (2010)","spoke expansion","MI:1060","0.35","2011/08/31","anti tag coimmunoprecipitation","MI:0007","human|Homo sapiens","9606|9606","EBI-4395437","association","P45973 (EBI-4395437) Q15172","false","association","pubmed","20562864","false","EBI-4395437","P45973 (EBI-4395437) Q15172","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2014/10/16",,
"23239","figure legend:Table S1|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|curation depth:mimix curation","Nozawa et al. (2010)","spoke expansion","MI:1060","0.35","2011/08/31","anti tag coimmunoprecipitation","MI:0007","human|Homo sapiens","9606|9606","EBI-4395437","association","P45973 (EBI-4395437) Q16537","false","association","pubmed","20562864","false","EBI-4395437","P45973 (EBI-4395437) Q16537","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2014/10/16",,
