Entry	Organism ID
A0A5B9	9606
O00213	9606
O00255	9606
O00267	9606
O00268	9606
O00482	9606
O00499	9606
O00560	9606
O13297	559292
O14508	9606
O14544	9606
O14646	9606
O14686	9606
O14746	9606
O14776	9606
O14777	9606
O14810	9606
O14893	9606
O14907	9606
O14964	9606
O14965	9606
O14980	9606
O15047	9606
O15105	9606
O15151	9606
O15164	9606
O15169	9606
O15234	9606
O15294	9606
O15392	9606
O15533	9606
O43157	9606
O43521	9606
O43559	9606
O43566	9606
O43597	9606
O43617	9606
O43683	9606
O43745	9606
O43791	9606
O60341	9606
O60494	9606
O60573	9606
O60671	9606
O60673	9606
O60880	9606
O60921	9606
O75015	9606
O75151	9606
O75164	9606
O75340	9606
O75367	9606
O75376	9606
O75381	9606
O75533	9606
O75563	9606
O75581	9606
O75792	9606
O75865	9606
O75928	9606
O94829	9606
O95149	9606
O95166	9606
O95400	9606
O95405	9606
O95630	9606
O95747	9606
O95863	9606
O95931	9606
O96013	9606
P00128	559292
P00163	559292
P00452	83333
P00533	9606
P00579	83333
P00729	559292
P00734	9606
P00751	9606
P00797	9606
P00830	559292
P00968	83333
P01008	9606
P01019	9606
P01024	9606
P01031	9606
P01033	9606
P01094	559292
P01100	9606
P01106	9606
P01112	9606
P01123	559292
P01130	9606
P01133	9606
P01135	9606
P01160	9606
P01215	9606
P0DN86	9606
P0DN87	9606
P01241	9606
P01308	9606
P01583	9606
P01584	9606
P01730	9606
P01834	9606
P01848	9606
P01850	9606
P01857	9606
P01892	9606
P01903	9606
P01912	9606
P02293	559292
P02309	559292
P02406	559292
P02407	559292
P02413	83333
P02452	9606
P02458	9606
P02462	9606
P02671	9606
P02675	9606
P02679	9606
P02686	9606
P02745	9606
P02746	9606
P02749	9606
P02751	9606
P02753	9606
P02766	9606
P02771	9606
P02829	559292
P02916	83333
P02994	559292
P03372	9606
P03950	9606
P03951	9606
P03989	9606
P04004	9606
P04037	559292
P04049	9606
P04050	559292
P04150	9606
P04229	9606
P04233	9606
P04234	9606
P04271	9606
P04386	559292
P04387	559292
P04439	9606
P04456	559292
P04626	9606
P04629	9606
P04632	9606
P04637	9606
P04819	559292
P04911	559292
P04993	83333
P04995	83333
P05055	83333
P05067	9606
P05106	9606
P05107	9606
P05108	9606
P05121	9606
P05317	559292
P05318	559292
P05319	559292
P05386	9606
P05387	9606
P05412	9606
P05534	9606
P05556	9606
P05737	559292
P05738	559292
P05744	559292
P05747	559292
P05748	559292
P05750	559292
P05756	559292
P05759	559292
P06213	9606
P06241	9606
P06367	559292
P06400	9606
P06609	83333
P06611	83333
P06701	559292
P06710	83333
P06729	9606
P06730	9606
P06756	9606
P06780	559292
P06865	9606
P07014	83333
P07143	559292
P07149	559292
P07204	9606
P07251	559292
P07256	559292
P07257	559292
P07267	559292
P07276	559292
P07357	9606
P07358	9606
P07359	9606
P07648	83333
P07686	9606
P07737	9606
P07766	9606
P07834	559292
P07910	9606
P07992	9606
P07998	9606
P08067	559292
P08069	9606
P08138	9606
P08189	83333
P08190	83333
P08191	83333
P08238	9606
P08253	9606
P08254	9606
P08394	83333
P08514	9606
P08518	559292
P08525	559292
P08559	9606
P08572	9606
P08575	9606
P08581	9606
P08637	9606
P08648	9606
P08709	9606
P09038	9606
P09130	83333
P09152	83333
P09619	9606
P0A6F1	83333
P0A6F3	83333
P0A6F5	83333
P0A6F9	83333
P0A6P9	83333
P0A734	83333
P0A780	83333
P0A786	83333
P0A7F3	83333
P0A7J3	83333
P0A7K2	83333
P0A7L3	83333
P0A7N4	83333
P0A7Q1	83333
P0A7R5	83333
P0A7S3	83333
P0A7U3	83333
P0A7V3	83333
P0A7W7	83333
P0A836	83333
P0A855	83333
P0A8Q0	83333
P0A8Q3	83333
P0A8Q6	83333
P0A8S9	83333
P0A8T7	83333
P0A8V2	83333
P0A903	83333
P0A912	83333
P0A9A6	83333
P0AAJ3	83333
P0AB98	83333
P0ABI8	83333
P0ABJ1	83333
P0ABJ3	83333
P0ABT2	83333
P0ABY7	83333
P0AC02	83333
P0AC44	83333
P0AC47	83333
