ProtA	ProtB	ELMA	ELMB	Degree	Score	Fusion	Phylogenetic_profiling	Homology	Co-expression	Experiment	Database	Textmining	Neighborhood	STRING_Degree	Sim_CC	Sim_BP	Sim_MF	ClassLabel
P43246	P52701	14	19	239	0.999	0	0.164285	0	0.794	0.992	0.9	0.315172	0	10	0.812962309392	0.928474065605	1.0	ob
P01024	Q9Y279	29	17	102	0.976	0	0	0	0.054	0.876	0	0.814	0	10	0	0.196117765027	0.0151446123989	nob
P01094	P07267	15	20	46	0.932	0	0	0	0.084	0.868	0	0.485	0	10	0	0.154185107645	0.0640990230188	nob
P10275	Q15466	15	17	410	0.535	0	0	0	0	0.36	0	0.304	0	10	0.174464937092	0.0818470781615	0.0151446123989	nob
P0ABI8	P0ABJ1	14	23	4	0.999	0	0.782	0	0.98	0.989	0.966	0.566	0.853	14	1.0	1.0	1.0	ob
P0ABI8	P0ABJ3	14	13	2	0.999	0.852	0.782	0	0.979	0.989	0.964	0.589	0.886	14	1.0	1.0	1.0	ob
P01857	P08637	22	19	17	0	0	0	0	0	0	0	0	0	9	0	0.196117765027	0	ob
P24863	P49336	18	12	250	0.999	0	0	0	0.195	0.992	0.9	0.941	0	10	0	0	0.0151446123989	ob
P03989	P10619	31	14	36	0	0	0	0	0	0	0	0	0	9	-0.0	0.196117765027	0	nob
P00163	P07143	22	20	59	0.999	0.615	0	0	0.147	0.996	0.959	0.951	0.321	10	0	1.0	0	ob
P28067	P28068	16	18	16	0.999	0	0	0	0.351	0.874	0.9	0.926	0	10	0.886055795545	0.762395989022	0.698502972593	ob
P07143	P08067	20	33	60	0.999	0.134	0.328	0	0.988	0.996	0.959	0.951	0.321	10	0	1.0	0	ob
P14653	P40424	15	13	60	0.994	0	0	0	0.053	0.871	0.9	0.576	0	10	0.174464937092	0	0.180282726243	ob
O75151	P68431	11	26	473	0.9	0	0	0	0.09	0.133	0.9	0.000451	0	19	0.0878609430863	0.4854395259	0.523996724343	nob
Q14188	Q16254	21	30	78	0.998	0	0	0	0.364	0.953	0.9	0.648	0	10	0.291532709483	0.0818470781615	0.455547716042	ob
P02413	P60723	17	15	3	0.999	0	0.317	0	0.994	0.989	0.976	0.609	0.534	14	0	1.0	0.102886619617	ob
