ProtA	ProtB	label
P43246	P52701	ob
P01024	Q9Y279	nob
P01094	P07267	nob
P10275	Q15466	nob
P0ABI8	P0ABJ1	ob
P0ABI8	P0ABJ3	ob
P01857	P08637	ob
P24863	P49336	ob
P03989	P10619	nob
P00163	P07143	ob
P28067	P28068	ob
P07143	P08067	ob
P14653	P40424	ob
O75151	P68431	nob
Q14188	Q16254	ob
P02413	P60723	ob
Q8TB24	Q9Y5K6	nob
P04626	Q14451	nob
O15533	P30101	ob
P55055	Q15596	nob
P01892	P01903	nob
P0A8T7	P0A8V2	ob
Q96CA5	Q9NR28	nob
P07737	P50552	nob
P02675	P02679	ob
Q02108	Q02153	ob
P68431	Q12830	nob
P00533	Q9UJM3	nob
P0CG48	P14735	nob
P01892	P43358	nob
P05107	P21333	nob
P0AFX7	P0AFX9	nob
Q9BZI7	Q9Y5S9	nob
P00797	P01019	ob
P45530	P45531	ob
P01130	P02749	ob
P01892	P43357	nob
P01892	Q9BZL6	nob
P22213	Q01590	nob
P25054	Q9ULH1	nob
P01834	P01857	ob
Q08AE8	Q9NZ56	nob
P23638	P40303	ob
P25604	Q99176	ob
P10599	P19838	nob
P67775	Q9Y570	ob
Q03818	Q12380	nob
Q96P09	Q9NR28	nob
O15294	P68400	nob
P45531	P45532	ob
P61964	Q15291	nob
Q9UGI8	Q9Y615	nob
P16104	Q8NEM0	nob
P25604	P42939	ob
O95747	Q96J92	nob
P04004	P05121	nob
P24928	Q9GZU7	nob
P14736	P32628	nob
P06729	Q9Y5K6	nob
P0A7J3	P0A7K2	ob
Q16531	Q92466	nob
P49023	Q9NVD7	nob
P32379	P43583	ob
Q13185	Q96KQ7	nob
O95400	P06729	nob
Q8IUQ4	Q9HB71	nob
Q16695	Q96T88	nob
P00734	P02679	nob
Q9UBE0	Q9UBT2	ob
P26321	Q02753	ob
Q09028	Q8IX07	nob
P63000	Q16512	ob
P02671	P02679	ob
P06241	P27986	nob
P32773	P32774	nob
O60341	P68431	nob
P04995	P0AGE0	nob
P02671	P02675	ob
O75381	P50542	ob
P21242	P40302	ob
Q7L576	Q8WUW1	nob
P52491	Q12395	nob
P12272	Q14974	nob
P30990	Q99523	nob
P15891	P53974	nob
P20248	Q99741	nob
P00533	Q9ULV8	nob
P62826	Q92973	nob
P76077	P76079	ob
P81274	Q1MX18	nob
P25054	P35222	nob
Q13794	Q16548	nob
Q9BY67	Q9Y2J2	nob
P02458	P04229	nob
O00268	Q16514	nob
P41182	Q9Y618	nob
P67775	Q13362	ob
P0CG48	Q96G74	nob
P38054	P77239	ob
P05747	Q02753	ob
P08238	Q02790	nob
P26715	P29350	nob
P36383	Q07157	nob
Q13620	Q16531	ob
Q14691	Q9BRX5	ob
P09038	P11362	nob
P55055	Q15788	nob
P08253	P16035	ob
P04993	P07648	ob
Q06696	Q12483	ob
P52298	Q09161	nob
P01912	P04233	nob
Q13042	Q8NHZ8	nob
P62508	Q15788	nob
P01892	P33241	nob
P55957	Q92843	nob
O43617	O75865	ob
P52891	Q04491	ob
P02407	P32905	ob
P84022	Q96PU5	nob
P0AFX7	P0AGB6	nob
P25942	Q9Y4K3	nob
P61586	Q07960	nob
P55211	Q13490	nob
Q16531	Q5TAQ9	nob
P06730	Q13542	nob
P06730	Q13541	nob
P05737	P0CX23	ob
P46674	Q08231	ob
P05738	P0CH08	ob
Q96FZ7	Q9BRG1	nob
P28482	P35236	nob
P05756	P35997	ob
P26368	Q01081	nob
P52564	Q16539	nob
P04037	P10507	nob
P0CG47	Q9H3M9	nob
P06701	P11938	nob
P0A786	P0A7F3	nob
P38398	Q9BX63	nob
P0A7S3	P0AG63	ob
P10507	P17505	nob
P46673	P53011	ob
O60573	Q13541	nob
P0A7U3	P0AG59	ob
Q13285	Q15596	nob
P29366	Q03497	nob
P14598	P19878	nob
P00734	P07204	nob
P49841	Q92837	nob
P04229	Q16655	nob
P52948	P78406	nob
P63208	Q9Y297	ob
P31751	P49841	nob
P55957	Q07820	nob
P10826	Q15788	nob
P37231	Q15788	nob
P55210	P98170	nob
P11488	Q13432	nob
Q5RKV6	Q9Y3B2	ob
P10147	P14735	nob
P46655	P46672	ob
P49137	Q16539	nob
P30622	P68363	nob
P54198	Q9Y294	nob
P61964	Q03164	nob
P32570	Q99278	ob
P20248	Q01094	nob
P0CX55	Q3E792	ob
Q07812	Q07820	nob
Q14141	Q15019	ob
P0A6P9	P21513	nob
Q07157	Q9Y624	nob
Q07812	Q07817	nob
P05106	P79483	nob
P0CX49	P10664	ob
P35222	Q9NQB0	nob
P60953	Q07912	nob
P36149	Q03784	ob
P00533	P01133	nob
P12004	Q15054	nob
P00533	P01135	nob
P25054	Q07666	nob
P38630	P40339	ob
P10600	P36897	ob
P01892	P78358	nob
P13804	P38117	ob
P46674	Q6WNK7	ob
P22804	P40482	nob
P0A836	P0AGE9	ob
Q13191	Q9Y5K6	nob
O95405	P84022	nob
Q9NZI2	Q9UK17	ob
P01123	Q03784	ob
P39079	P40413	ob
P00128	P00163	ob
P07910	P30479	nob
P63165	Q9UER7	nob
Q01968	Q8N4B1	nob
P05759	P48589	ob
P0A7N4	P0AG44	ob
P04234	P07766	nob
P0A7W7	P0AG63	ob
P38144	P43596	ob
P07357	P07358	ob
P26449	P47074	nob
P12612	P42943	ob
P25604	P40343	nob
Q16531	Q5T6F0	nob
O75376	P20393	nob
P01892	P04626	nob
P61964	Q9UMN6	nob
P01892	P02771	nob
P02406	Q12690	ob
P10153	P13489	nob
P01241	P10912	nob
P0A734	P0AEZ3	nob
O15392	Q5FBB7	nob
P29353	P62993	nob
P11940	Q71RC2	nob
P12004	P38936	nob
P20433	P34087	ob
P25443	P32905	ob
P52272	Q92973	nob
P11940	Q9HCJ0	nob
Q13114	Q92844	nob
P83916	Q5FBB7	nob
P22059	Q9P0L0	nob
P10275	Q13772	nob
P49687	Q04491	ob
P0AAJ3	P24183	ob
P62805	Q9NQR1	nob
P04819	P15873	nob
O15164	P68431	nob
P39078	P47079	ob
P23638	P25451	ob
P05055	P21513	nob
O14893	Q16637	nob
P32499	Q02821	nob
