ProtA	ProtB	ELMA	ELMB	label
P43246	P52701	319	153	ob
P01024	Q9Y279	76	332	nob
P01094	P07267	72	0	nob
P10275	Q15466	37	194	nob
P0ABI8	P0ABJ1	55	96	ob
P0ABI8	P0ABJ3	25	96	ob
P01857	P08637	48	57	ob
P24863	P49336	81	42	ob
P03989	P10619	74	67	nob
P00163	P07143	56	56	ob
P28067	P28068	43	35	ob
P07143	P08067	24	56	ob
P14653	P40424	99	73	ob
O75151	P68431	14	313	nob
Q14188	Q16254	78	99	ob
P02413	P60723	27	13	ob
Q8TB24	Q9Y5K6	158	250	nob
P04626	Q14451	110	246	nob
O15533	P30101	84	73	ob
P55055	Q15596	319	82	nob
P01892	P01903	43	63	nob
P0A8T7	P0A8V2	245	288	ob
Q96CA5	Q9NR28	36	50	nob
P07737	P50552	81	12	nob
P02675	P02679	73	77	ob
Q02108	Q02153	125	137	ob
P68431	Q12830	727	14	nob
P00533	Q9UJM3	134	234	nob
P0CG48	P14735	174	90	nob
P01892	P43358	60	63	nob
P05107	P21333	586	129	nob
P0AFX7	P0AFX9	51	26	nob
Q9BZI7	Q9Y5S9	31	115	nob
P00797	P01019	66	91	ob
P45530	P45531	18	9	ob
P01130	P02749	56	158	ob
P01892	P43357	51	63	nob
P01892	Q9BZL6	193	63	nob
P22213	Q01590	52	140	nob
P25054	Q9ULH1	258	825	nob
P01834	P01857	57	7	ob
Q08AE8	Q9NZ56	411	238	nob
P23638	P40303	47	39	ob
P25604	Q99176	24	61	ob
P10599	P19838	167	6	nob
P67775	Q9Y570	53	50	ob
Q03818	Q12380	52	17	nob
Q96P09	Q9NR28	36	38	nob
O15294	P68400	82	189	nob
P45531	P45532	8	18	ob
P62158	Q15746	443	13	nob
P61964	Q15291	108	59	nob
Q9UGI8	Q9Y615	77	61	nob
P16104	Q8NEM0	217	19	nob
P25604	P42939	7	61	ob
O95747	Q96J92	314	98	nob
P04004	P05121	71	93	nob
P24928	Q9GZU7	32	634	nob
P14736	P32628	56	180	nob
P06729	Q9Y5K6	158	86	nob
P0A7J3	P0A7K2	11	24	ob
Q16531	Q92466	70	219	nob
P49023	Q9NVD7	54	121	nob
P32379	P43583	441	43	ob
Q13185	Q96KQ7	266	24	nob
O95400	P06729	86	55	nob
Q8IUQ4	Q9HB71	35	32	nob
Q16695	Q96T88	160	15	nob
P00734	P02679	73	112	nob
Q9UBE0	Q9UBT2	128	64	ob
P26321	Q02753	18	41	ob
Q09028	Q8IX07	231	67	nob
P63000	Q16512	203	41	ob
P02671	P02679	73	188	ob
P06241	P27986	162	91	nob
P32773	P32774	12	49	nob
O60341	P68431	14	175	nob
P04995	P0AGE0	23	66	nob
P02671	P02675	77	188	ob
O75381	P50542	103	83	ob
P21242	P40302	31	38	ob
Q7L576	Q8WUW1	6	268	nob
P52491	Q12395	44	24	nob
P12272	Q14974	122	50	nob
P30990	Q99523	148	30	nob
P15891	P53974	151	117	nob
P20248	Q99741	116	72	nob
P00533	Q9ULV8	88	234	nob
P62826	Q92973	141	35	nob
P76077	P76079	26	42	ob
P81274	Q1MX18	101	135	nob
P25054	P35222	111	825	nob
Q13794	Q16548	18	0	nob
Q9BY67	Q9Y2J2	268	66	nob
P02458	P04229	43	206	nob
